education_level,field_of_study,years_experience,preferred_work_type,python_level,javascript_level,java_level,sql_level,react_level,nodejs_level,machine_learning_level,data_analysis_level,cloud_level,cybersecurity_level,statistics_level,communication_level,problem_solving_level,interest_ai,interest_web,interest_data,interest_cloud,interest_security,career
Bachelor,Other,0.0,On-site,1,0,0,2,0,0,1,1,0,2,0,1,2,0,1,2,2,2,Cybersecurity Analyst
Bachelor,Mathematics,0.4,On-site,2,0,1,3,0,0,0,3,0,0,3,3,1,2,0,3,3,1,Data Analyst
Master,Information Technology,3.5,On-site,0,3,0,2,1,3,0,0,0,1,0,0,2,1,2,2,1,0,Full Stack Developer
Bachelor,Computer Science,0.7,Remote,0,3,0,1,3,0,0,1,0,0,0,2,1,0,2,2,1,2,Frontend Developer
Intermediate/High School,Other,3.2,On-site,0,0,1,3,0,0,0,3,1,1,2,2,0,2,1,1,1,1,Data Analyst
Intermediate/High School,Business/Commerce,2.9,On-site,0,0,1,3,0,0,0,3,1,0,1,3,0,3,1,3,1,1,Data Analyst
Intermediate/High School,Software Engineering,7.4,Remote,0,3,0,2,2,3,0,0,0,0,0,1,3,3,3,2,1,1,Full Stack Developer
Bachelor,Information Technology,6.2,Hybrid,3,0,3,3,0,2,0,0,0,0,1,0,2,1,3,3,1,2,Backend Developer
Intermediate/High School,Computer Science,2.4,Remote,0,3,0,3,2,1,0,0,0,0,0,0,3,1,1,0,1,1,Full Stack Developer
Master,Software Engineering,0.1,Remote,0,3,0,0,3,0,1,0,0,0,0,2,0,3,2,0,0,1,Frontend Developer
Bachelor,Information Technology,0.5,Hybrid,2,0,0,1,1,0,0,1,1,3,0,0,3,1,1,1,2,3,DevOps Engineer
Bachelor,Data Science,1.1,Hybrid,2,1,0,2,1,0,3,2,0,2,2,0,3,2,2,2,1,2,AI Engineer
Intermediate/High School,Information Technology,1.1,On-site,0,3,0,1,3,2,0,0,1,0,0,0,3,0,3,3,2,2,Full Stack Developer
Bachelor,Software Engineering,1.6,Remote,1,2,0,1,1,2,0,0,0,0,0,0,0,1,3,0,1,1,Full Stack Developer
Bachelor,Data Science,3.1,Hybrid,3,0,0,2,1,0,3,2,3,0,3,1,2,2,0,3,0,1,Machine Learning Engineer
Master,Computer Science,0.2,On-site,0,0,1,1,0,0,0,0,0,2,0,3,2,1,1,0,1,3,Cybersecurity Analyst
Bachelor,Business/Commerce,4.8,Hybrid,1,0,0,2,0,0,0,3,0,0,3,1,1,1,1,3,1,0,Data Analyst
Bachelor,Information Technology,0.9,Remote,1,0,0,2,0,0,0,0,0,2,0,1,3,0,2,1,0,2,Cybersecurity Analyst
Bachelor,Information Technology,2.5,Remote,0,0,0,2,0,0,0,0,0,3,0,2,3,0,2,1,2,2,Cybersecurity Analyst
Master,Software Engineering,6.8,On-site,0,3,0,3,1,3,0,1,0,0,0,0,2,2,3,0,1,1,Full Stack Developer
Master,Electrical Engineering,1.0,On-site,3,0,0,0,1,1,0,1,3,3,0,0,2,0,0,1,3,3,DevOps Engineer
PhD,Computer Science,0.0,Hybrid,3,0,0,2,0,0,2,1,1,0,1,0,3,3,2,2,0,1,AI Engineer
Master,Computer Science,0.4,Remote,1,0,0,3,0,0,0,0,0,3,0,3,2,1,2,0,2,3,Cybersecurity Analyst
Bachelor,Other,0.8,Remote,3,0,0,1,0,1,0,0,3,2,0,0,3,2,1,2,3,3,DevOps Engineer
Bachelor,Computer Science,1.5,Remote,0,3,0,1,2,1,1,0,0,1,1,2,1,1,2,1,1,0,Frontend Developer
Master,Other,1.2,Hybrid,3,1,1,0,0,1,0,0,2,0,0,0,2,0,1,1,2,2,Cloud Engineer
Bachelor,Electrical Engineering,3.3,On-site,2,0,0,0,0,1,0,0,3,1,0,1,2,1,2,1,3,1,Cloud Engineer
Bachelor,Information Technology,0.3,On-site,3,0,1,2,0,2,0,1,0,0,0,1,2,1,2,3,2,1,Backend Developer
Bachelor,Electrical Engineering,2.9,On-site,3,0,0,1,0,0,0,0,3,1,0,0,1,1,1,2,3,2,Cloud Engineer
Bachelor,Mathematics,2.8,On-site,2,1,0,2,0,0,0,3,0,1,2,3,0,1,0,2,2,1,Data Analyst
Master,Computer Science,0.6,On-site,0,3,0,1,3,0,0,0,0,1,1,2,1,0,3,1,2,1,Frontend Developer
Intermediate/High School,Computer Science,1.7,On-site,2,0,0,1,1,0,0,0,3,2,0,0,2,1,0,1,3,0,Cloud Engineer
Intermediate/High School,Software Engineering,3.5,On-site,2,0,0,3,1,0,3,1,0,0,3,0,3,1,1,2,1,0,AI Engineer
Master,Information Technology,2.2,On-site,3,0,0,1,0,0,0,1,3,2,1,0,2,0,1,1,3,3,DevOps Engineer
Intermediate/High School,Computer Science,1.2,Remote,0,2,0,0,3,0,0,0,0,1,0,2,0,0,3,1,1,1,Frontend Developer
PhD,Mathematics,4.8,On-site,2,0,1,3,0,0,1,3,0,2,0,2,0,1,1,3,1,1,Data Analyst
Bachelor,Mathematics,0.3,Remote,3,0,0,3,0,0,3,3,1,0,3,2,0,3,1,3,1,2,Data Scientist
Master,Computer Science,1.6,On-site,0,3,0,0,2,1,0,0,0,0,0,0,0,1,2,2,1,2,Frontend Developer
Bachelor,Other,1.9,Remote,3,1,0,1,0,0,3,3,0,0,3,0,3,2,0,2,0,2,AI Engineer
Bachelor,Data Science,0.0,Remote,0,0,0,2,0,0,0,3,1,0,2,3,0,1,0,3,1,2,Data Analyst
Bachelor,Computer Science,0.7,On-site,2,1,0,1,0,0,3,2,3,0,2,0,2,3,0,3,2,1,Machine Learning Engineer
Bachelor,Software Engineering,0.7,Remote,0,3,0,0,3,0,0,0,0,0,1,3,1,0,3,1,0,1,Frontend Developer
Master,Software Engineering,2.9,Remote,3,1,0,2,0,0,2,3,0,0,2,1,3,3,2,2,1,0,AI Engineer
Bachelor,Electrical Engineering,0.3,Remote,2,0,0,0,0,0,0,1,3,2,0,0,2,1,0,2,2,3,DevOps Engineer
Master,Other,1.2,On-site,2,0,1,2,0,0,3,0,0,0,2,0,3,3,0,3,1,1,AI Engineer
Bachelor,Other,2.2,On-site,0,3,0,1,2,0,0,0,0,1,1,2,0,1,3,1,2,1,Frontend Developer
Bachelor,Software Engineering,2.2,Hybrid,2,0,1,2,0,1,0,1,0,1,0,0,3,1,3,3,1,1,Backend Developer
Master,Computer Science,1.2,On-site,1,0,0,1,0,0,0,0,2,3,0,0,3,1,1,1,2,3,DevOps Engineer
Bachelor,Other,0.3,Remote,1,1,0,3,0,0,0,3,0,0,2,1,0,1,0,3,1,2,Data Analyst
Bachelor,Mathematics,1.4,On-site,3,0,1,2,0,0,1,3,0,0,2,2,0,3,1,3,0,1,Data Scientist
PhD,Mathematics,0.8,On-site,2,0,0,3,1,0,2,3,1,0,2,1,0,3,0,3,2,1,Data Scientist
Bachelor,Mathematics,3.5,Remote,3,0,0,1,0,1,1,3,0,0,3,0,3,3,1,3,0,0,AI Engineer
Master,Data Science,3.0,Hybrid,3,0,0,2,0,0,3,2,2,1,2,1,2,3,0,2,0,1,Machine Learning Engineer
Bachelor,Software Engineering,1.5,Remote,0,3,0,1,1,2,0,1,0,1,0,1,3,1,3,0,2,2,Full Stack Developer
Master,Computer Science,0.6,Remote,2,0,2,3,0,2,1,0,1,0,0,1,2,0,3,3,2,2,Backend Developer
Bachelor,Electrical Engineering,3.0,Hybrid,1,0,0,3,0,0,1,0,3,2,0,0,3,2,3,0,1,3,DevOps Engineer
Bachelor,Other,1.8,Remote,3,1,0,2,0,0,1,3,0,0,3,1,0,2,3,2,0,0,Data Scientist
Bachelor,Computer Science,1.7,On-site,3,0,2,1,0,0,3,3,0,1,2,0,2,3,0,3,1,3,AI Engineer
Bachelor,Data Science,1.6,Remote,3,0,0,1,0,1,3,2,1,1,0,0,2,2,2,3,0,3,Machine Learning Engineer
Bachelor,Information Technology,1.7,On-site,1,3,1,3,3,2,0,0,0,0,0,0,2,0,3,3,2,2,Full Stack Developer
Bachelor,Data Science,0.0,Remote,3,0,0,3,0,1,2,3,0,0,2,3,0,3,2,3,1,1,Data Scientist
Bachelor,Software Engineering,2.2,Remote,0,2,0,0,3,0,0,0,0,1,0,3,0,2,3,2,0,1,Frontend Developer
Master,Data Science,1.2,Hybrid,3,0,0,2,0,0,1,3,0,0,3,2,0,2,2,2,1,0,Data Scientist
Bachelor,Mathematics,2.1,Hybrid,3,0,0,1,0,0,2,1,1,0,0,0,1,3,0,3,2,3,Machine Learning Engineer
Master,Mathematics,2.6,Hybrid,3,0,0,2,0,0,3,3,0,0,2,3,1,3,3,2,0,0,Data Scientist
Intermediate/High School,Computer Science,2.2,On-site,2,1,1,0,0,1,1,0,3,1,0,0,2,0,1,1,3,1,Cloud Engineer
Bachelor,Information Technology,0.7,Hybrid,1,0,0,0,0,0,0,0,3,3,0,0,3,1,2,0,3,3,DevOps Engineer
Master,Electrical Engineering,10.1,On-site,2,0,0,3,1,0,0,0,0,3,1,2,3,1,0,0,1,3,Cybersecurity Analyst
Bachelor,Data Science,0.5,Remote,1,0,0,3,0,1,0,3,0,0,2,2,0,1,0,3,3,0,Data Analyst
Bachelor,Computer Science,3.8,On-site,3,1,0,0,0,0,1,1,3,0,0,0,2,1,2,2,2,0,Cloud Engineer
Intermediate/High School,Software Engineering,1.3,Hybrid,0,3,1,3,2,3,1,0,0,0,0,0,2,3,2,2,1,2,Full Stack Developer
Intermediate/High School,Information Technology,4.8,Remote,1,3,0,0,3,0,0,0,0,0,0,1,2,1,3,1,1,0,Frontend Developer
Intermediate/High School,Mathematics,1.8,Remote,1,1,0,2,0,0,0,3,1,1,2,1,0,0,2,2,1,0,Data Analyst
PhD,Electrical Engineering,5.3,Remote,1,0,0,3,0,0,0,0,0,2,0,2,3,2,1,0,2,3,Cybersecurity Analyst
Master,Other,0.1,Remote,3,0,0,0,0,0,3,3,0,0,2,0,3,2,1,3,0,1,AI Engineer
Bachelor,Computer Science,0.2,On-site,1,1,0,1,0,0,0,0,3,1,0,0,2,1,1,2,3,2,Cloud Engineer
Bachelor,Information Technology,0.5,Remote,1,0,3,2,0,2,0,0,0,0,0,1,3,0,3,2,0,2,Backend Developer
Intermediate/High School,Computer Science,1.8,Remote,1,0,0,2,0,0,3,3,3,0,3,0,1,2,1,3,0,0,Machine Learning Engineer
Bachelor,Other,4.5,Hybrid,2,0,0,3,0,0,0,3,0,0,3,2,1,0,2,3,2,1,Data Analyst
Bachelor,Computer Science,6.4,Remote,3,1,0,2,0,0,2,3,0,0,2,1,0,1,2,3,1,2,Data Scientist
Master,Mathematics,1.1,Remote,3,0,0,1,0,0,3,2,2,0,2,1,3,2,1,3,0,0,Machine Learning Engineer
Bachelor,Mathematics,0.1,Hybrid,3,1,1,1,0,0,3,2,3,0,2,1,2,3,0,3,0,2,Machine Learning Engineer
Bachelor,Computer Science,1.3,Remote,3,0,1,0,1,0,2,1,0,0,2,0,1,3,0,2,0,0,AI Engineer
Intermediate/High School,Information Technology,4.1,On-site,2,1,0,1,0,0,0,0,3,1,0,1,2,1,1,0,3,2,Cloud Engineer
Master,Electrical Engineering,3.3,Remote,3,0,0,1,1,0,0,0,3,2,0,0,1,0,1,2,2,1,Cloud Engineer
Intermediate/High School,Data Science,1.1,Remote,1,0,0,0,0,0,3,3,1,0,2,0,3,3,1,2,1,1,AI Engineer
Master,Other,0.2,On-site,3,0,0,0,0,1,0,0,3,2,0,0,3,0,0,1,3,0,DevOps Engineer
Master,Computer Science,3.7,Hybrid,1,1,3,2,0,3,0,0,2,0,1,1,2,1,3,3,3,0,Backend Developer
PhD,Other,3.4,Remote,2,1,0,1,0,0,0,0,3,3,0,0,3,1,1,1,3,3,DevOps Engineer
Bachelor,Information Technology,0.6,Remote,1,0,0,3,1,0,0,1,1,3,0,3,3,1,1,0,0,3,Cybersecurity Analyst
Master,Mathematics,0.6,Remote,0,0,0,2,1,0,0,3,0,0,2,2,0,0,2,3,1,2,Data Analyst
Bachelor,Information Technology,1.4,On-site,1,0,3,2,0,1,0,0,1,0,1,0,2,1,2,3,1,2,Backend Developer
Intermediate/High School,Mathematics,1.1,Hybrid,3,0,0,3,0,0,2,3,3,1,2,0,2,3,1,3,1,1,Machine Learning Engineer
Bachelor,Information Technology,0.5,Hybrid,2,0,0,2,0,0,0,0,3,3,0,0,2,2,2,0,3,3,DevOps Engineer
Bachelor,Software Engineering,1.2,On-site,0,2,0,2,3,1,0,1,1,0,0,0,2,0,2,1,1,0,Full Stack Developer
Bachelor,Electrical Engineering,4.4,Remote,1,0,0,0,0,1,0,0,3,2,0,0,3,0,0,1,2,3,DevOps Engineer
Master,Information Technology,0.3,Remote,1,0,1,1,0,0,1,0,2,2,0,0,2,2,0,0,2,2,DevOps Engineer
Intermediate/High School,Computer Science,1.0,Hybrid,3,0,0,2,0,0,3,2,1,0,2,1,2,3,1,2,2,1,Machine Learning Engineer
Intermediate/High School,Computer Science,0.9,Remote,2,0,0,1,1,0,3,2,2,0,2,0,2,1,0,3,2,2,Machine Learning Engineer
Bachelor,Other,0.2,Remote,2,0,3,3,0,1,0,0,0,0,0,0,1,0,1,3,0,0,Backend Developer
Bachelor,Electrical Engineering,2.2,Remote,3,0,0,1,0,0,0,1,3,1,1,0,2,2,1,0,2,2,Cloud Engineer
Master,Other,1.3,Hybrid,1,3,0,1,3,0,0,1,1,0,0,1,0,0,3,1,1,0,Frontend Developer
Bachelor,Computer Science,9.0,Hybrid,1,3,0,3,3,1,0,0,1,0,0,0,3,2,3,1,1,0,Full Stack Developer
Master,Business/Commerce,0.2,Remote,0,1,0,3,0,0,0,3,0,0,2,2,1,1,1,3,0,1,Data Analyst
Bachelor,Electrical Engineering,8.7,Hybrid,2,0,0,2,0,0,1,1,0,3,0,2,3,0,1,1,0,2,Cybersecurity Analyst
Bachelor,Mathematics,3.0,On-site,3,0,0,3,0,0,3,2,2,1,3,0,2,3,0,3,1,0,Machine Learning Engineer
Bachelor,Information Technology,1.9,Hybrid,2,1,0,1,1,0,1,1,0,3,0,2,3,2,2,0,0,3,Cybersecurity Analyst
Bachelor,Mathematics,0.6,Remote,3,0,0,0,0,0,3,3,0,0,1,1,3,3,0,3,1,0,AI Engineer
Bachelor,Information Technology,1.4,Hybrid,0,2,1,2,3,1,0,1,0,0,0,0,1,2,3,3,0,1,Full Stack Developer
Bachelor,Mathematics,1.5,Remote,2,0,0,1,0,0,2,2,0,0,3,0,3,3,2,3,1,2,AI Engineer
Bachelor,Data Science,0.4,Remote,3,1,0,2,0,1,0,2,3,0,2,0,2,3,1,3,2,1,Machine Learning Engineer
Bachelor,Information Technology,0.1,Remote,3,1,1,2,0,3,1,1,1,0,0,0,2,0,2,3,1,2,Backend Developer
Bachelor,Information Technology,0.0,Hybrid,3,0,0,0,1,0,0,1,2,1,0,1,3,0,2,1,3,2,DevOps Engineer
Master,Information Technology,1.8,Remote,0,3,0,3,2,2,0,1,0,0,0,0,2,1,2,1,0,0,Full Stack Developer
Bachelor,Data Science,9.8,Hybrid,3,0,0,3,0,0,3,2,3,0,3,0,2,3,1,2,1,1,Machine Learning Engineer
Bachelor,Business/Commerce,0.1,Remote,2,1,0,2,0,0,0,3,0,0,2,2,1,0,1,3,1,0,Data Analyst
Bachelor,Data Science,0.3,Remote,3,0,0,1,0,0,2,2,1,0,2,0,2,3,2,3,0,1,AI Engineer
Bachelor,Data Science,1.9,Remote,3,0,0,1,0,0,3,1,1,0,2,0,2,3,1,3,0,2,Machine Learning Engineer
Master,Information Technology,2.1,On-site,2,1,0,2,1,0,0,0,0,3,0,1,2,0,1,0,2,3,Cybersecurity Analyst
Master,Software Engineering,1.5,Remote,1,0,3,3,1,1,0,1,1,1,0,1,2,2,3,2,0,3,Backend Developer
Intermediate/High School,Other,1.8,Remote,2,1,0,3,1,1,0,1,0,0,1,0,2,1,3,2,0,1,Backend Developer
Intermediate/High School,Mathematics,3.5,Remote,3,0,0,3,0,0,2,3,0,0,3,2,0,3,1,3,2,0,Data Scientist
Bachelor,Computer Science,2.0,Remote,3,1,1,0,0,0,3,1,0,0,1,0,3,3,3,3,1,1,AI Engineer
Bachelor,Computer Science,3.5,Remote,2,0,0,0,0,0,3,3,0,0,2,0,3,3,0,3,0,1,AI Engineer
Master,Other,1.7,Remote,2,0,0,3,0,0,2,3,1,0,3,3,1,3,1,3,1,1,Data Scientist
Bachelor,Computer Science,0.3,Remote,2,0,0,1,1,0,2,2,2,1,2,0,2,2,0,3,2,1,Machine Learning Engineer
Intermediate/High School,Mathematics,0.1,Remote,2,0,1,3,0,0,1,3,0,0,3,3,0,3,1,3,1,1,Data Analyst
Master,Electrical Engineering,8.4,Hybrid,1,0,0,1,0,0,1,0,3,1,0,0,1,0,0,1,1,1,Cloud Engineer
Bachelor,Other,2.1,Hybrid,1,0,0,1,0,1,0,0,3,3,0,1,2,0,0,1,3,3,DevOps Engineer
Intermediate/High School,Mathematics,2.6,Remote,3,0,0,2,2,0,3,3,2,0,3,0,3,3,1,3,2,2,Machine Learning Engineer
Intermediate/High School,Other,6.0,Hybrid,2,0,3,3,0,3,0,1,0,0,0,0,1,0,3,2,0,1,Backend Developer
Bachelor,Electrical Engineering,0.4,Remote,2,1,0,2,0,0,0,0,3,3,0,0,3,1,1,1,3,3,DevOps Engineer
PhD,Other,0.1,Hybrid,1,0,0,2,0,1,0,3,0,1,2,1,0,1,0,3,0,0,Data Analyst
Bachelor,Business/Commerce,3.1,Remote,2,1,0,3,0,0,0,3,0,1,2,2,0,1,1,2,0,1,Data Analyst
Master,Other,0.9,Remote,3,0,1,2,0,0,3,2,0,0,1,0,2,3,1,3,1,0,AI Engineer
Bachelor,Data Science,3.6,On-site,3,1,0,3,0,1,2,3,1,0,3,1,0,2,1,3,3,0,Data Scientist
Bachelor,Software Engineering,0.2,Hybrid,1,2,1,3,2,2,0,0,0,0,0,0,2,2,3,2,1,1,Full Stack Developer
Master,Computer Science,2.2,Remote,3,0,1,2,0,0,2,3,1,1,3,3,0,3,0,3,3,1,Data Scientist
Master,Other,4.7,On-site,3,0,1,3,0,2,0,1,0,0,1,0,2,1,3,3,1,3,Backend Developer
Intermediate/High School,Information Technology,2.3,Remote,3,0,3,3,0,2,0,0,0,1,0,0,1,2,3,3,2,3,Backend Developer
PhD,Other,4.9,On-site,3,0,1,2,1,0,3,3,0,0,3,2,0,3,2,3,0,0,Data Scientist
Bachelor,Data Science,0.1,Remote,2,0,0,1,0,0,3,2,0,0,2,0,3,3,0,3,1,1,AI Engineer
Bachelor,Computer Science,8.2,Remote,2,1,3,2,0,0,0,0,0,2,1,0,1,2,2,3,3,2,Backend Developer
Master,Other,0.6,Remote,3,0,0,3,0,0,1,3,0,0,3,2,0,3,0,3,1,1,Data Scientist
Bachelor,Computer Science,0.8,Hybrid,3,0,0,1,1,0,2,2,0,1,3,0,3,2,0,2,1,0,AI Engineer
Master,Information Technology,1.8,Remote,1,0,0,1,1,0,0,0,3,1,0,0,1,1,2,0,3,0,Cloud Engineer
Bachelor,Computer Science,0.2,Hybrid,1,0,0,2,0,0,1,3,0,0,3,2,1,3,3,2,1,2,Data Scientist
Bachelor,Mathematics,2.4,Remote,3,0,0,2,0,0,3,1,1,0,1,0,3,2,0,3,1,1,Machine Learning Engineer
Bachelor,Software Engineering,1.9,Remote,0,3,1,2,3,2,0,0,0,0,0,0,2,0,3,2,1,0,Full Stack Developer
Master,Computer Science,3.0,On-site,3,0,0,2,0,0,2,2,0,0,3,2,0,3,1,2,1,1,Data Scientist
Bachelor,Mathematics,2.8,Remote,2,0,0,2,0,1,3,3,0,0,3,0,1,2,1,3,3,0,Machine Learning Engineer
Bachelor,Software Engineering,3.5,Hybrid,0,3,0,2,3,2,0,1,0,0,1,0,3,1,3,2,1,1,Full Stack Developer
Intermediate/High School,Computer Science,1.7,Remote,2,0,2,3,0,2,0,0,0,1,1,0,3,2,3,3,2,0,Backend Developer
Master,Software Engineering,1.5,On-site,0,3,1,1,2,0,0,2,1,1,0,2,1,0,2,2,2,1,Frontend Developer
Master,Electrical Engineering,3.2,Remote,2,0,0,2,0,0,0,0,3,2,0,0,3,1,2,0,3,0,Cloud Engineer
Master,Electrical Engineering,5.2,Hybrid,2,1,0,0,0,1,0,0,3,2,0,0,3,1,1,2,3,2,DevOps Engineer
Intermediate/High School,Other,0.8,Remote,0,0,0,3,0,0,0,2,1,0,2,2,0,2,1,3,0,0,Data Analyst
Master,Electrical Engineering,2.3,Remote,1,0,0,2,0,0,0,0,0,3,0,2,2,2,2,2,1,2,Cybersecurity Analyst
Intermediate/High School,Software Engineering,3.0,Remote,1,0,2,3,0,1,0,0,1,0,0,0,3,0,0,3,1,0,Backend Developer
Bachelor,Other,2.0,On-site,3,0,0,2,1,0,2,2,2,1,2,0,3,2,0,2,0,2,Machine Learning Engineer
Bachelor,Other,3.3,Hybrid,2,0,0,3,1,0,0,3,0,0,3,3,1,2,2,3,2,3,Data Analyst
Bachelor,Computer Science,5.2,Hybrid,1,0,2,3,0,2,1,0,0,0,0,1,1,2,3,2,0,2,Backend Developer
Bachelor,Computer Science,0.1,Remote,3,0,0,1,1,0,2,2,1,0,1,0,3,2,1,2,2,0,Machine Learning Engineer
Bachelor,Data Science,3.7,Remote,1,0,0,3,1,0,0,3,0,1,2,2,0,0,0,3,2,2,Data Analyst
Bachelor,Computer Science,1.3,Remote,1,1,0,1,1,0,1,0,1,3,0,2,3,1,2,1,0,3,Cybersecurity Analyst
Bachelor,Computer Science,0.0,On-site,3,0,0,2,0,0,3,2,3,0,3,0,1,3,3,3,2,1,Machine Learning Engineer
Master,Mathematics,2.2,Remote,2,0,1,2,0,0,1,3,0,0,3,1,0,3,1,3,0,2,Data Scientist
Master,Electrical Engineering,1.2,Remote,1,0,0,0,0,0,0,0,3,3,0,0,2,0,1,3,3,1,Cloud Engineer
Bachelor,Data Science,3.4,Hybrid,3,0,0,3,1,0,3,3,0,0,3,1,1,3,0,3,3,2,Data Scientist
Bachelor,Information Technology,0.0,Hybrid,2,0,3,3,1,2,0,1,0,0,0,1,2,2,3,3,1,2,Backend Developer
Master,Other,0.7,Remote,1,3,0,0,2,0,0,0,0,1,0,3,1,0,2,2,2,0,Frontend Developer
PhD,Data Science,0.2,On-site,3,0,1,1,0,0,2,3,1,0,2,0,2,3,0,3,0,0,Machine Learning Engineer
Master,Computer Science,0.2,Remote,0,3,1,0,3,0,1,0,0,1,0,3,2,2,3,0,0,0,Frontend Developer
Intermediate/High School,Other,1.8,On-site,0,3,0,0,3,1,1,0,0,0,0,1,2,1,2,1,1,1,Frontend Developer
Master,Information Technology,3.7,Hybrid,2,1,0,0,1,0,1,2,3,3,0,0,3,2,1,1,2,3,DevOps Engineer
Master,Computer Science,1.9,Hybrid,2,0,0,2,0,0,0,0,3,2,0,1,3,1,1,2,3,3,DevOps Engineer
Intermediate/High School,Other,6.9,On-site,3,0,0,2,0,0,3,2,1,0,3,0,3,2,0,3,2,1,AI Engineer
Bachelor,Computer Science,1.4,Hybrid,3,1,0,0,0,0,2,3,0,1,0,0,2,2,1,3,1,1,AI Engineer
Master,Software Engineering,4.9,Remote,0,3,1,0,3,1,0,2,0,0,1,2,2,0,3,1,1,1,Frontend Developer
Intermediate/High School,Software Engineering,4.8,Remote,3,0,0,2,0,0,3,2,0,0,1,1,3,3,1,3,0,2,AI Engineer
Master,Mathematics,0.7,Remote,3,0,0,1,0,0,2,3,1,1,2,3,0,3,1,1,2,1,Data Scientist
Bachelor,Mathematics,1.1,Hybrid,0,0,0,3,0,0,0,3,0,0,2,3,0,1,1,3,0,0,Data Analyst
Bachelor,Electrical Engineering,1.3,Remote,2,0,0,2,0,0,0,0,1,1,0,0,2,0,2,2,2,1,Cloud Engineer
Intermediate/High School,Mathematics,2.8,Hybrid,3,0,0,1,0,1,3,2,0,0,1,0,3,3,0,3,2,1,AI Engineer
Master,Computer Science,0.3,Remote,3,0,0,1,0,0,1,0,2,3,0,0,2,0,1,2,2,3,DevOps Engineer
Bachelor,Electrical Engineering,0.2,Remote,1,0,1,0,0,0,0,0,2,3,0,0,3,0,2,1,3,3,DevOps Engineer
Bachelor,Computer Science,1.3,On-site,0,2,1,0,3,0,0,1,0,1,0,1,1,3,3,1,2,1,Frontend Developer
Bachelor,Mathematics,1.4,Hybrid,2,1,0,1,0,2,2,2,0,1,3,3,0,3,0,3,1,2,Data Scientist
Master,Other,0.8,On-site,3,1,1,2,0,0,0,0,0,3,0,1,3,1,0,2,0,3,Cybersecurity Analyst
Bachelor,Other,0.2,Remote,1,0,0,2,0,0,0,0,1,1,0,0,2,0,2,1,3,3,Cloud Engineer
Master,Information Technology,2.5,Remote,2,1,0,1,0,1,1,0,3,3,0,0,3,1,3,1,3,3,DevOps Engineer
Intermediate/High School,Electrical Engineering,1.9,On-site,2,0,1,1,0,0,0,0,3,3,0,0,3,2,0,1,2,3,DevOps Engineer
Intermediate/High School,Mathematics,4.4,Remote,3,0,0,3,0,1,3,3,2,0,2,0,3,3,0,2,3,0,Machine Learning Engineer
Intermediate/High School,Information Technology,0.4,Hybrid,0,0,0,2,0,0,0,0,0,2,0,1,3,2,1,0,1,3,Cybersecurity Analyst
Bachelor,Software Engineering,3.4,Hybrid,2,0,3,3,0,2,0,0,0,1,0,0,3,0,3,2,0,0,Backend Developer
Master,Software Engineering,0.2,On-site,1,3,0,2,2,2,0,1,0,0,0,1,1,1,3,0,2,2,Full Stack Developer
Bachelor,Other,8.9,Hybrid,1,3,1,2,2,2,0,0,0,0,0,0,2,1,3,2,0,1,Full Stack Developer
Bachelor,Software Engineering,0.8,Remote,3,0,2,3,0,0,0,0,0,0,1,0,2,1,3,2,1,2,Backend Developer
Master,Electrical Engineering,5.4,On-site,1,0,0,1,0,0,1,0,3,1,1,0,3,2,1,0,1,3,DevOps Engineer
Bachelor,Computer Science,1.8,Remote,0,2,0,0,2,0,2,0,1,0,0,3,0,1,3,2,2,1,Frontend Developer
Bachelor,Business/Commerce,8.1,Remote,2,0,0,3,0,0,0,3,0,0,3,2,0,2,0,3,0,1,Data Analyst
Master,Data Science,3.2,Remote,3,0,2,1,0,0,3,1,3,0,3,1,3,3,1,1,1,0,Machine Learning Engineer
Master,Other,4.2,Hybrid,0,3,0,0,2,0,0,0,0,0,0,2,2,0,3,0,2,2,Frontend Developer
Master,Computer Science,0.9,Remote,3,0,0,0,0,0,3,2,1,0,2,0,3,3,0,3,3,1,AI Engineer
Bachelor,Mathematics,10.5,Hybrid,3,0,0,1,0,0,3,1,0,0,3,0,3,3,2,3,0,1,AI Engineer
Master,Electrical Engineering,8.8,Remote,2,0,0,1,0,0,0,0,3,3,0,0,3,2,2,1,3,3,DevOps Engineer
Bachelor,Mathematics,3.3,Remote,3,0,0,2,1,0,2,3,0,0,3,3,1,3,2,3,2,1,Data Scientist
Bachelor,Mathematics,3.7,Remote,2,0,0,3,0,0,0,3,0,0,1,1,0,1,0,2,1,1,Data Analyst
Intermediate/High School,Other,0.4,Remote,2,0,1,1,1,0,3,1,0,0,1,0,2,3,1,3,1,2,AI Engineer
Master,Computer Science,0.2,Remote,3,0,0,2,0,1,3,3,0,0,3,2,0,3,2,2,3,2,Data Scientist
Bachelor,Mathematics,1.0,On-site,3,0,0,2,0,0,3,2,1,0,2,0,2,3,2,3,1,0,Machine Learning Engineer
Bachelor,Business/Commerce,0.9,Remote,2,1,0,3,0,1,0,2,0,0,2,1,0,0,0,3,0,0,Data Analyst
Bachelor,Mathematics,2.9,On-site,3,0,0,3,0,0,3,3,0,0,3,3,0,3,1,3,2,0,Data Scientist
Bachelor,Mathematics,0.9,Hybrid,3,0,0,0,0,1,2,3,0,1,2,0,3,2,1,3,0,0,AI Engineer
Bachelor,Data Science,5.4,Hybrid,1,1,0,2,0,0,0,3,0,0,3,2,1,2,0,3,1,2,Data Analyst
